date,vault_id,failure_count
04-04-2023,1066,2
04-04-2023,1113,3
05-04-2023,1010,2
05-04-2023,1014,2
05-04-2023,1032,3
05-04-2023,1041,2
05-04-2023,1044,2
05-04-2023,1093,3
07-04-2023,1033,2
07-04-2023,1133,2
08-04-2023,1124,2
08-04-2023,1400,2
11-04-2023,1036,2
11-04-2023,1040,3
11-04-2023,1090,3
11-04-2023,1092,2
11-04-2023,1093,2
12-04-2023,1096,2
12-04-2023,1113,3
14-04-2023,1120,4
14-04-2023,1124,2
14-04-2023,1128,2
14-04-2023,1161,2
15-04-2023,1113,2
15-04-2023,1118,2
17-04-2023,1053,2
17-04-2023,1066,2
17-04-2023,1113,2
18-04-2023,1033,2
18-04-2023,1113,2
18-04-2023,1118,2
19-04-2023,1091,2
20-04-2023,1113,2
20-04-2023,1132,2
21-04-2023,1127,2
